Experiment_type,code,tree_quality,species,quality,Nitrogen_added,mix_type,species_richness,number,litter_type_quality_tree_1,litter_type_quality_tree_2,quality_N,mesh_size,total_mass_g,sample_plot,plot,harvest,handling_loss_bags,handling_loss,initial_mass_g,Time_at_harvest,final_mass_g
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,9,4,3.997,5,5 mm,12.997,R9,plot3,harvest1,NA,-0.793,12.204,30,6.869
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,10,4.009,3.992,5.009,5 mm,13.01,R10,plot3,harvest2,NA,-0.793,12.217,60,7.325
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,11,4.003,4,5.004,5 mm,13.007,R11,plot3,harvest3,NA,-0.793,12.214,220,4.89
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,12,4.002,4.009,5.004,5 mm,13.015,R12,plot3,harvest4,NA,-0.793,12.222,365,1.723
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,13,4.009,4.008,5.004,5 mm,13.021,,,,10.915,-0.793,12.228,,NA
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,14,4.009,4,5.006,5 mm,13.015,,,,12.924,-0.793,12.222,,NA
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,15,3.992,3.991,5,5 mm,12.983,,,,12.8,-0.793,12.19,,NA
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,1,3.997,4.005,5.003,2 mm,13.005,R1,plot1,harvest1,NA,-0.433,12.572,30,7.043
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,2,4,4.008,5.001,2 mm,13.009,R2,plot1,harvest2,NA,-0.433,12.576,60,6.63
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,3,4.001,4.004,5.003,2 mm,13.008,R3,plot1,harvest3,NA,-0.433,12.575,220,6.19
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,4,3.995,4.002,5,2 mm,12.997,R4,plot1,harvest4,NA,-0.433,12.564,365,6.675
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,5,4,4,5.007,2 mm,13.007,R5,plot2,harvest1,NA,-0.433,12.574,30,6.33
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,6,3.993,4,5,2 mm,12.993,R6,plot2,harvest2,NA,-0.433,12.56,60,7.822
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,7,4.003,4,5,2 mm,13.003,R7,plot2,harvest3,NA,-0.433,12.57,220,5.34
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,8,4.002,4.008,5.002,2 mm,13.012,R8,plot2,harvest4,NA,-0.433,12.579,365,4.871
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,9,4.008,4.005,5.05,2 mm,13.063,R9,plot3,harvest1,NA,-0.433,12.63,30,6.839
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,10,4,4.003,4.006,2 mm,12.009,R10,plot3,harvest2,NA,-0.433,11.576,60,7.95
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,11,4.008,4.002,5.003,2 mm,13.013,R11,plot3,harvest3,NA,-0.433,12.58,220,7.04
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,12,4,3.999,5.004,2 mm,13.003,R12,plot3,harvest4,NA,-0.433,12.57,365,5.245
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,13,4.006,4,5.007,2 mm,13.013,,,,13,-0.433,12.58,,NA
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,14,4.003,4.003,4.993,2 mm,12.999,,,,12.638,-0.433,12.566,,NA
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,15,4,4.003,4.992,2 mm,12.995,,,,12.07,-0.433,12.562,,NA
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,1,4.005,4,4.99,0.07 mm,12.995,R1,plot1,harvest1,NA,-0.435,12.56,30,7.055
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,2,4.005,3.992,4.991,0.07 mm,12.988,R2,plot1,harvest2,NA,-0.435,12.553,60,7.485
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,3,4,3.993,5.006,0.07 mm,12.999,R3,plot1,harvest3,NA,-0.435,12.564,220,5.8
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,4,4,3.998,5.005,0.07 mm,13.003,R4,plot1,harvest4,NA,-0.435,12.568,365,3.963
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,5,3.999,3.998,4.996,0.07 mm,12.993,R5,plot2,harvest1,NA,-0.435,12.558,30,6.457
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,6,4,4,5.001,0.07 mm,13.001,R6,plot2,harvest2,NA,-0.435,12.566,60,6.928
