Experiment_type,code,tree_quality,species,quality,Nitrogen_added,mix_type,species_richness,number,mesh_size,Time_at_harvest,final_mass_g,k,in_mass,C_initial,N_initial,Ca_initial  ,K_initial,Mg_initial,Mn_initial,P_initial,Tannin_initial,C/N,C,N,Ca,K,Mg,Mn,P,Tannin
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,1,5 mm,365,2.343,2.667,7.152,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,247.827,20.784,16.738,2.942,2.926,1.22,0.649,0.026
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,2,5 mm,365,2.343,2.667,7.152,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,308.996,25.037,17.355,2.432,2.688,1.265,0.714,0.006
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,1,2 mm,365,3.926,0.6,6.963,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,348.749,33.712,53.989,2.418,3.849,1.261,0.801,0.02
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,2,2 mm,365,3.926,0.6,6.963,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,355.176,31.983,20.187,1.961,3.578,1.46,0.824,0.064
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,1,0.07 mm,365,3.067,0.796,7.21,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,380.387,41.315,20.203,2.406,3.946,1.315,1.014,0.027
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,2,0.07 mm,365,3.067,0.796,7.21,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,313.562,30.35,15.597,1.761,2.78,1.11,0.788,0.048
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,1,5 mm,365,3.708,1.09,9.978,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,351.935,26.446,34.401,2.982,4.989,1.237,1.025,0.01
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,2,5 mm,365,3.708,1.09,9.978,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,357.507,18.967,19.14,1.363,2.59,1.229,0.549,0.23
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,1,2 mm,365,5.458,0.573,10,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,390.747,19.232,25.868,1.027,3.119,1.811,0.599,0.22
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,2,2 mm,365,5.458,0.573,10,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,425.357,17.117,22.378,1.388,3.087,1.281,0.56,0.48
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,1,0.07 mm,365,6.458,0.408,10.002,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,400.161,19.958,27.192,1.619,3.564,1.631,0.788,0.19
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,2,0.07 mm,365,6.458,0.408,10.002,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,408.696,16.571,22.041,1.129,2.993,2.069,0.578,0.27
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,1,5 mm,365,3.255,0.802,7.532,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,406.022,29.453,19.339,2.129,3.44,2.047,0.57,0.045
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,2,5 mm,365,3.255,0.802,7.532,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,196.143,15.266,34.912,2.416,2.326,0.655,0.619,0.051
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,1,2 mm,365,5.597,0.364,7.736,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,,,,,,,,
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,2,2 mm,365,5.597,0.364,7.736,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,,,,,,,,
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,1,0.07 mm,365,4.189,0.562,7.729,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,397.997,36.592,30.978,2.003,2.569,1.182,0.778,0
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,2,0.07 mm,365,4.189,0.562,7.729,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,395.975,33.499,20.956,3.837,3.723,1.259,0.676,0.01
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,1,5 mm,365,2.237,3.152,7.197,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,314.177,26.024,16.389,2.301,2.362,0.817,0.44,0
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,2,5 mm,365,2.237,3.152,7.197,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,384.231,29.487,16.173,2.337,2.576,0.924,0.381,0.033
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,1,2 mm,365,4.671,0.439,7.282,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,374.104,30.493,32.517,1.203,2.172,1.375,0.331,0
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,2,2 mm,365,4.671,0.439,7.282,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,397.818,35.988,31.991,2.212,2.693,1.352,0.443,0
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,1,0.07 mm,365,2.991,0.725,7.206,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,410.575,38.574,24.385,1.487,2.587,1.599,0.358,0
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,2,0.07 mm,365,2.991,0.725,7.206,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,407.696,36.063,32.891,0.873,2.265,1.182,0.368,0.051
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,1,5 mm,365,3.845,1.414,10,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,341.594,15.424,21.538,4.066,3.334,0.792,1.259,0.04
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,2,5 mm,365,3.845,1.414,10,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,254.376,12.787,12.984,3.555,2.216,0.569,0.854,0.03
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,1,2 mm,365,3.321,1.126,9.93,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,,,,,,,,
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,2,2 mm,365,3.321,1.126,9.93,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,,,,,,,,
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,1,0.07 mm,365,3.813,0.917,10.002,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,410.647,15.842,36.017,4.557,4.757,0.534,1.925,0.15
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,2,0.07 mm,365,3.813,0.917,10.002,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,420.039,15.434,33.985,4.302,4.252,0.481,1.963,0.09
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,1,5 mm,365,3.047,1.573,7.656,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,214.215,18.325,12.447,1.23,2.042,0.983,0.714,0.048
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,2,5 mm,365,3.047,1.573,7.656,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,299.291,25.461,15.176,0.666,3.031,1.03,0.873,0.005
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,1,2 mm,365,3.878,0.628,7.769,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,306.775,26.8,16.23,2.344,3.163,1.115,0.775,0
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,2,2 mm,365,3.878,0.628,7.769,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,253.35,23.888,15.645,2.082,2.721,1.304,0.745,0.043
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,1,0.07 mm,365,2.009,0.952,7.721,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,366.11,34.881,22.166,2.883,4.429,1.329,1.206,0.045
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,2,0.07 mm,365,2.009,0.952,7.721,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,351.955,30.581,74.59,2.281,3.587,1.181,0.871,0.056
A2,A2LH,Low,"Cb,Ga",Low_N6,N_6,tree mixture,2,1,5 mm,365,2.932,3.735,7.344,370,240.595,9.815,2.19,1.765,0.524,0.53,0.04,1.538951658,373.263,25.559,27.265,2.405,2.948,0.638,1.412,0.004
A2,A2LH,Low,"Cb,Ga",Low_N6,N_6,tree mixture,2,2,5 mm,365,2.932,3.735,7.344,370,240.595,9.815,2.19,1.765,0.524,0.53,0.04,1.538951658,414.879,33.367,37.016,1.787,3.175,1.504,0.878,0.036
A2,A2LH,Low,"Cb,Ga",Low_N6,N_6,tree mixture,2,1,2 mm,365,1.27,1.44,7.639,370,240.595,9.815,2.19,1.765,0.524,0.53,0.04,1.538951658,401.406,31.422,29.276,2.255,3.128,0.549,1.63,0.059
A2,A2LH,Low,"Cb,Ga",Low_N6,N_6,tree mixture,2,2,2 mm,365,1.27,1.44,7.639,370,240.595,9.815,2.19,1.765,0.524,0.53,0.04,1.538951658,416.434,32.511,27.899,2.42,2.96,0.629,1.484,0.136
A2,A2LH,Low,"Cb,Ga",Low_N6,N_6,tree mixture,2,1,0.07 mm,365,1.54,1.283,7.22,370,240.595,9.815,2.19,1.765,0.524,0.53,0.04,1.538951658,370.116,36.788,24.998,3.318,3.267,0.498,2.172,0.076
A2,A2LH,Low,"Cb,Ga",Low_N6,N_6,tree mixture,2,2,0.07 mm,365,1.54,1.283,7.22,370,240.595,9.815,2.19,1.765,0.524,0.53,0.04,1.538951658,424.439,30.706,30.589,1.825,2.926,0.857,1.654,0.014
